StationTime,Attractiveness,Closeness Centrality,Degree Centerality,Betweenness Centrality
14758,14.10164866,237.4408774,2,350
14759,14.10164866,237.6304641,2,350
14762,12.08390717,235.8444364,1,188
14766,37.52351128,227.3401156,8,360
14767,26.28651183,226.4749379,3,259
14768,23.16755792,226.4719286,2,212
14769,10.42540946,226.5080403,2,149
14770,11.13503875,227.4499556,2,290
14771,8.38084882,227.430395,1,234
14772,8.97595927,227.4544695,1,234
14773,10.66282603,227.5718328,1,234
14774,10.66282603,227.6470656,1,234
14775,10.66282603,227.7584102,1,234
14776,13.88042879,227.899848,2,281
14777,13.88042879,228.101472,2,281
14778,13.88042879,228.3286752,2,281
14780,43.47145265,228.8838936,2,305
14781,43.47145265,229.070471,2,305
14783,37.38486516,230.4953811,3,312
14784,31.37567123,231.0144878,3,357
14785,13.78118481,231.8721422,2,350
14786,4.1123342,232.7884782,2,350
14787,3.65314069,233.6747212,2,350
14788,3.65314069,234.3954518,2,350
14789,3.85545436,235.1974339,2,349
14791,12.24781766,237.8937791,3,411
14793,13.79062853,241.1047169,2,349
14794,13.39653855,241.7953544,1,232
14796,13.39653855,243.862753,1,232
14797,9.06505467,245.2756259,2,294
14798,11.50399821,243.5542984,2,108
14804,23.90271266,247.971971,2,173
14805,15.60992094,248.1675764,1,162
14806,11.80650946,249.1922478,1,162
14807,9.53724631,250.230461,1,162
14808,8.30541514,249.9310343,1,162
14809,6.79792386,250.7947074,1,162
14810,6.79792386,252.1774871,1,162
14811,7.34492442,253.9424496,1,162
14812,4.52254333,256.1437626,1,81
14813,5.94171625,257.0525754,1,81
14814,5.94171625,258.3390571,1,81
14815,5.1310616,259.6887343,1,81
14816,5.1310616,260.6366681,1,81
14819,4.52254333,255.6081048,1,81
14821,5.29875589,247.9418779,1,232
14823,6.33098517,249.7730453,1,232
14825,7.09933817,251.7396319,1,232
14826,7.09933817,253.1389628,1,232
14828,10.66155691,256.1257068,3,469
14829,10.66155691,258.3887107,3,469
14831,9.26733638,261.8945613,1,232
14833,6.03863115,264.404329,1,232
14835,3.33894402,266.5635117,1,232
14836,3.33894402,268.3841465,1,232
14837,3.5627217,269.3922666,1,232
14839,4.07021558,271.5228608,3,371
14849,12.26800582,235.8323992,4,311
14850,11.05203754,237.2422627,2,108
14851,6.52816008,237.8907698,2,108
14852,8.82622153,239.4676502,2,108
14853,8.82622153,241.0159422,2,108
14854,3.73331231,242.0075111,2,108
14855,3.76105364,242.5973366,2,108
14856,7.34492442,254.0116638,1,162
14857,6.79792386,251.7336133,1,162
14858,8.07635546,250.7932027,1,162
14859,7.26581689,249.6436448,1,162
14860,9.53724631,249.8783713,1,162
14861,9.53724631,250.2124051,1,162
14862,11.80650946,249.213313,1,162
14863,15.60992094,248.3932749,1,162
14864,15.54253869,247.4137433,1,162
14867,8.19501553,287.0629573,4,278
14869,5.44883383,287.4406262,2,114
14870,5.44883383,287.5609987,2,114
14871,4.9888906,288.072582,2,114
14878,7.29883605,292.2570329,1,14
14879,9.02182636,293.7511572,1,14
14880,9.02182636,294.6930724,1,14
14881,9.02182636,296.0653195,1,14
14884,12.2969477,302.1802451,2,32
14885,14.3110167,303.9813194,2,32
14886,18.11154333,305.1715031,2,32
14887,17.16940278,302.7821079,2,32
14888,13.33085325,301.071313,1,14
14889,9.22894293,298.4261262,1,14
14890,9.90737948,297.6948629,1,14
14892,3.07607745,293.2275366,1,14
14893,3.07607745,291.4339856,1,14
14895,4.9888906,288.5104372,2,114
14896,17.4762355,249.1847245,3,428
14901,19.28389549,270.9134748,4,326
14902,19.28389549,271.2505179,4,326
14903,22.44763669,271.035352,4,326
14904,24.07741221,270.8457652,2,221
14905,21.01247324,270.9902123,2,221
14906,19.05415952,271.2971623,1,186
14907,19.05415952,271.5288794,1,186
14908,8.04783901,271.859904,1,186
14909,10.87052235,272.2781986,1,186
14913,34.28046919,231.8856841,10,658
14914,42.27658157,231.5682015,10,658
14915,34.4848342,232.4529398,10,658
14916,20.35060857,233.653656,6,352
14917,11.79065,234.4180217,2,108
14918,12.09138676,235.0499776,2,108
14928,12.09138676,236.0927048,2,108
14929,5.30707491,237.5853244,2,108
14930,3.60795188,238.2338316,2,108
14931,3.60795188,239.6783022,2,108
14932,5.42783792,240.9813351,2,108
14933,6.04851208,242.0977905,2,108
14934,5.24582065,243.1104246,2,108
14935,4.54191046,245.1793278,2,108
14936,2.9016447,246.0911499,2,162
14937,2.9016447,247.1173259,2,162
14938,3.93840047,248.5286941,2,108
14939,4.14873229,250.134163,2,108
14940,2.08273785,250.8849868,2,108
14941,2.08273785,251.5380079,2,108
14942,2.08273785,252.4332787,2,108
14943,2.08273785,252.8455547,2,108
14944,3.14734815,253.8190677,2,108
14945,3.14734815,254.1877087,2,108
14946,3.14734815,253.5993878,2,108
14947,6.67917141,251.9894049,2,108
14948,6.67917141,250.2078912,2,162
14950,3.14705956,248.8025416,2,108
14951,3.19548845,248.2006789,2,162
14952,3.19548845,247.2768195,2,162
14953,3.19548845,245.3929891,2,108
14954,4.13000499,244.3337106,2,108
14955,3.73331231,243.3301045,2,108
14956,3.73331231,242.4604128,2,108
14960,6.22572834,287.1773112,5,263
14961,8.19501553,287.0163129,4,278
14962,5.44883383,287.7009318,2,114
14963,5.44883383,287.5670173,2,114
14965,8.19501553,287.1938624,4,278
15009,12.94976185,305.0541398,1,28
15011,12.94976185,306.5587967,1,28
15012,17.48261329,308.7134654,1,28
15013,17.48261329,310.2181223,1,28
15017,34.4848342,232.5056027,10,658
15023,11.50399821,243.5227006,2,108
15024,3.76105364,242.6846067,2,108
15025,3.73331231,242.2302003,2,108
15026,8.82622153,240.9963816,2,108
15027,8.82622153,239.4842014,2,108
15028,6.52816008,238.0442448,2,108
15029,11.05203754,237.0647132,2,108
15030,12.26800582,236.1528911,4,311
15036,3.73331231,242.529627,2,108
15037,3.73331231,243.9771069,2,108
15038,3.19548845,245.1221508,2,108
15039,3.19548845,246.6478729,2,162
15040,3.19548845,247.8696543,2,108
15041,6.67917141,249.5142443,2,108
15042,6.67917141,249.9536042,2,162
15043,6.67917141,251.6598851,2,162
15044,3.14734815,253.5948739,2,108
15046,3.14734815,253.5888552,2,108
15047,2.08273785,252.3986716,2,108
15048,2.08273785,251.3950655,2,108
15049,2.08273785,250.9195939,2,108
15050,4.14873229,250.4636828,2,108
15052,3.93840047,248.7453647,2,108
15053,2.9016447,246.8600296,2,162
15054,2.9016447,246.2130271,2,162
15055,2.9016447,245.8729746,2,162
15057,5.33107434,243.564831,2,108
15058,6.04851208,241.8164196,2,108
15059,3.60795188,240.5976476,2,108
15060,3.60795188,239.3367451,2,108
15061,3.60795188,238.0923938,2,108
15062,5.30707491,237.4408774,2,108
15063,11.77135481,236.3891222,2,108
15065,11.79065,234.3232283,2,108
15066,20.35060857,233.5212462,6,352
15069,6.35159975,319.2295125,5,165
15080,12.94976185,305.0962702,1,28
15081,13.88999022,304.8359646,1,28
15083,14.16940682,304.2356065,3,79
15105,10.87052235,272.0780792,1,186
15106,8.04783901,271.653766,1,186
15107,19.05415952,271.3964696,1,186
15108,19.05415952,271.1873223,1,186
15109,17.06327797,282.2766437,2,288
15110,17.06327797,283.143326,2,288
15114,4.77875011,294.041556,1,108
15120,17.06327797,282.8995716,2,288
